aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
test	CVCC		ˈtest	C1VCC
test	CVCC		ˈtest	C1VCC
worser	CVCCVC	0,3	ˈwər-sər	C1VCC=VC	_w1AXrs=AXr.
aside	VCVC	0,1	ə-ˈsīd	VC1VC	_AXs1AYd.
astraddle	VCCCVCVC	0,1,5	ə-ˈstra-dəl	VCCC1VCVC	_AXstr1AEdAXl.
cherub	CVCVC	0,3	ˈcher-əb	C1VCVC	_C1EHrAXb.
pure	CVC	0	ˈpyu̇r	CC1VC	_py1AXr.
pedestrian	CVCVCCCVVC	0,2,5,8	pə-ˈdes-trē-ən	CVC1VCCCVVC	_pIXd1EHstrIYIXn.
dinky	CVCCV	0,3	ˈdiŋ-kē	C1VCCV	_d1IHNkIY.
ability	VCVCVCV	0,1,3,5	ə-ˈbi-lə-tē	VC1VCVCV	_AXb1IHlIXtIY.
manciple	CVCCVCVC	0,3,5	ˈman(t)-sə-pəl	C1VCCVCVC	_m1AEnsIXpAXl.
treaty	CCVCV	0,3	ˈtrē-tē	CC1VCV	_tr1IYtIY.
navvy	CVCV	0,2	ˈna-vē	C1VCV	_n1AEvIY.
politic	CVCVCVC	0,2,4	ˈpä-lə-ˌtik	C1VCVCVC	_p1AAlIXtIHk.
inane	VCVC	0,1	i-ˈnān	VC=1VC	_IHn=1EYn.
contractual	CVCCCVCCVCVC	0,3,7,9	kən-ˈtrak-chə-wəl	CVCCC1VCCVVC	_kAXntr1AEkSUWAXl.
crummy	CCVCV	0,3	ˈkrə-mē	CC1VCV	_kr1UXmIY.
intro	VCCCV	0,2	ˈin-(ˌ)trō	1VCCCV	_1IHntrOW.
inhalant	VCCVCVCC	0,2,4	in-ˈhā-lənt	VCC1VCVCC	_IHnh1EYlIXnt.
gunboat	CVCCVC	0,3	ˈgən-ˌbōt	C1VCCVC	_g1UXnbOWt.
explorer	VCCCCVCVC	0,2,7	ik-ˈsplȯr-ər	VCCCC1VCVC	_IHkspl1AOrAXr.
harangue	CVCVC	0,2	hə-ˈraŋ	CVCC1VC	_hAXrr1AEN.
depress	CVCCVC	0,2	di-ˈpres	CVCC1VC	_dIHpr1EHs.
militarily	CVCVCVCVCV	0,2,4,7,8	ˌmi-lə-ˈter-ə-lē	CVCVC1VCVCV	_mIHlIXt1EHrIXlIY.
foramen	CVCVCVC	0,2,4	fə-ˈrā-mən	CVCC1VCVC	_fAXrr1EYmIXn.
palace	CVCVC	0,2	ˈpa-ləs	C1VCVC	_p1AElIXs.
leg	CVC	0	ˈleg	C1VC	_l1EHg.
weeny	CVCV	0,2	ˈwē-nē	C1VCV	_w1IYnIY.
boston	CVCCVC	0,3	ˈbȯs-tən	C1VCCVC	_b1AOstIXn.
alliteration	VCVCVCVCVC	0,1,3,5,7	ə-ˌli-tə-ˈrā-shən	VCVCVCC1VCVC	_AXlIHtAXrr1EYSIXn.
italian	VCVCVC	0,1,4	ə-ˈtal-yən	VC1VCVVC	_IHt1AElIYIXn.
inquest	VCCCVCC	0,2	ˈin-ˌkwest	1VCCCVCC	_1IHNkwEHst.
tyrant	CVCVCC	0,2	ˈtī-rənt	C1VCVCC	_t1AYrIXnt.
tinderbox	CVCCVCCVCC	0,3,6	ˈtin-dər-ˌbäks	C1VCCVC C2VCC	_t1IHndAXr ~b2AAks.
once	CVCC	0	ˈwən(t)s	C1VCC	_w1UXns.
expedient	VCCCVCVVCC	0,2,5,7	ik-ˈspē-dē-ənt	VCCC1VCVVCC	_IHksp1IYdIYIXnt.
expulsion	VCCCVCCVC	0,2,6	ik-ˈspəl-shən	VCCC1VCCVC	_IHksp1UXlSIXn.
spinal	CCVCVC	0,3	ˈspī-nəl	CC1VCVC	_sp1AYnAXl.
slum	CCVC	0	ˈsləm	CC1VC	_sl1UXm.
wonderful	CVCCVCCVC	0,3,6	ˈwən-dər-fəl	C1VCCVCCVC	_w1UXndAXrfUHl.
ashamed	VCVCC	0,1	ə-ˈshāmd	VC1VCC	_AXS1EYmd.
exemplification	VCCVCCCVCVCVCVC	0,2,5,8,10,12	ig-ˌzem-plə-fə-ˈkā-shən	VCCVCCCVCVC1VCVC	_IXgzEHmplIXfIHk1EYSIXn.
urgent	VCCVCC	0,2	ˈər-jənt	1VCCVCC	_1AXrJIXnt.
respirator	CVCCVCVCVC	0,3,5,7	ˈres-pə-ˌrā-tər	C1VCCVCCVCVC	_r1EHspAXrrEYtAXr.
hatchery	CVCVCV	0,2,4	ˈha-chə-rē	C1VCVCCV	_h1AECAXrrIY.
confirmation	CVCCVCCVCVC	0,3,6,8	ˌkän-fər-ˈmā-shən	CVCCVCC1VCVC	_kAAnfAXrm1EYSIXn.
grateful	CCVCCVC	0,4	ˈgrāt-fəl	CC1VCCVC	_gr1EYtfAXl.
nickel	CVCVC	0,2	ˈni-kəl	C1VCVC	_n1IHkAXl.
horticulture	CVCCVCVCCVC	0,3,5,8	ˈhȯr-tə-ˌkəl-chər	C1VCCVCVCCVC	_h1AOrtIHkUXlCAXr.
microprocessor	CVCCVCCVCVCVC	0,2,5,8,10	ˌmī-krō-ˈprä-ˌse-sər	C1VCCVCCVCVCVC	_m1AYkrOWprAAsEHsAXr.
lessen	CVCVC	0,2	ˈle-sən	C1VCVC	_l1EHsIXn.
factorial	CVCCVCVVC	0,3,6,7	fak-ˈtȯr-ē-əl	CVCC1VCVVC	_fAEkt1AOrIYIXl.
pardon	CVCCVC	0,3	ˈpär-dən	C1VCCVC	_p1AArdIXn.
brawn	CCVC	0	ˈbrȯn	CC1VC	_br1AOn.
misfire	CVCCVVC	0,3,5	ˌmis-ˈfī(-ə)r	CVCC1VVC	_mIHsf1AYAXr.
multilateral	CVCCVCVCVCVC	0,3,5,7,9	ˌməl-tē-ˈla-t(ə-)rəl	C1VCCV=C1VCVCCVC	_m1UXltIY=l1AEtAXrrAXl.
scorn	CCVCC	0	ˈskȯrn	CC1VCC	_sk1AOrn.
eucalyptus	VCVCVCCVC	0,1,3,6	ˌyü-kə-ˈlip-təs	CVCVC1VCCVC	_yUWkAXl1IHptIXs.
dingle	CVCCVC	0,3	ˈdiŋ-gəl	C1VCVC	_d1IHNAXl.
million	CVCVC	0,3	ˈmi(l)-yən	C1VCCVC	_m1IHlyIXn.
indecipherable	VCCVCVCVCVCVC	0,2,4,6,8,10	ˌin-di-ˈsī-f(ə-)rə-bəl	VCCVC1VCVCCVCVC	_IHndIXs1AYfAXrrAXbAXl.
relive	CVCVC	0,2	(ˌ)rē-ˈliv	CVC1VC	_rIYl1IHv.
scull	CCVC	0	ˈskəl	CC1VC	_sk1UXl.
grove	CCVC	0	ˈgrōv	CC1VC	_gr1OWv.
hark	CVCC	0	ˈhärk	C1VCC	_h1AArk.
teetotal	CVCVCVC	0,2,4	ˈtē-ˈtō-təl	C1V C2VCVC	_t1IY ~t2OWtAXl.
exertion	VCCVCCVC	0,2,5	ig-ˈzər-shən	VCC1VCCVC	_IHgz1AXrSIXn.
decency	CVCVCCV	0,2,5	ˈdē-sən-sē	C1VCVCCV	_d1IYsIXnsIY.
tasteless	CVCCCVC	0,4	ˈtāst-ləs	C1VCCCVC	_t1EYstlIXs.
bosom	CVCVC	0,2	ˈbu̇-zəm	C1VCVC	_b1UHzAXm.
toddler	CVCCVC	0,3	ˈtäd-lər	C1VCCVC	_t1AAdlAXr.
prolong	CCVCVC	0,3	prə-ˈlȯŋ	CCVC1VC	_prOWl1AON.
sleuth	CCVC	0	ˈslüth	CC1VC	_sl1UWT.
mister	CVCCVC	0,3	ˈmis-tər	C1VCCVC	_m1IHstAXr.
harpoon	CVCCVC	0,3	här-ˈpün	CVCC1VC	_hAArp1UWn.
taxidermy	CVCCVCVCCV	0,3,5,8	ˈtak-sə-ˌdər-mē	C1VCCVCVCCV	_t1AEksIXdAXrmIY.
insistent	VCCVCCVCC	0,2,5	in-ˈsis-tənt	VCC1VCCVCC	_IHns1IHstIXnt.
partner	CVCCCVC	0,4	ˈpärt-nər	C1VCCCVC	_p1AArtnAXr.
dirty	CVCCV	0,3	ˈdər-tē	C1VCCV	_d1AXrtIY.
princely	CCVCCCV	0,5	ˈprin(t)s-lē	CC1VCCCV	_pr1IHnslIY.
climatology	CCVCVCVCVCV	0,3,5,7,9	ˌklī-mə-ˈtä-lə-jē	CC1VCVC1VCVCV	_kl1AYmAXt1AAlIXJIY.
ostensible	VCCVCCVCVC	0,1,5,7	ä-ˈsten(t)-sə-bəl	VCC1VCCVCVC	_AAst1EHnsIXbAXl.
tens	CVCC	0	ˈtenz	C1VCC	_t1EHnz.
prompt	CCVCC	0	ˈpräm(p)t	CC1VCCC	_pr1AAmpt.
appertain	VCVCCVC	0,1,4	ˌa-pər-ˈtān	VCVCC1VC	_AEpAXrt1EYn.
anarchism	VCVCCVCVC	0,1,4,6	ˈa-nər-ˌki-zəm	1VCVCCVCVC	_1AEnAXrkIHzAXm.
detriment	CVCCVCVCC	0,2,5	ˈde-trə-mənt	C1VCCVCVCC	_d1EHtrIXmIXnt.
hoard	CVCC	0	ˈhȯrd	C1VCC	_h1AOrd.
orientation	VCVVCCVCVC	0,2,3,5,7	ˌȯr-ē-ən-ˈtā-shən	VCVVCC1VCVC	_AOrIYEHnt1EYSIXn.
talisman	CVCVCCVC	0,2,5	ˈta-ləs-mən	C1VCVCCVC	_t1AElIXsmAXn.
curtsy	CVCCCV	0,4	ˈkərt-sē	C1VCCCV	_k1AXrtsIY.
gab	CVC	0	ˈgab	C1VC	_g1AEb.
sketchbook	CCVCCVC	0,4	ˈskech-ˌbu̇k	CC1VC C2VC	_sk1EHC ~b2UHk.
starship	CCVCCVC	0,4	ˈstär-ˌship	CC1VCCVC	_st1AArSIHp.
lidless	CVCCVC	0,3	ˈlid-ləs	C1VC=CVC	_l1IHd=lIXs.
enzyme	VCCVC	0,2	ˈen-ˌzīm	1VCCVC	_1EHnzAYm.
species	CCVCVC	0,3	ˈspē-(ˌ)shēz	CC1VCVC	_sp1IYsIYz.
fidelity	CVCVCVCV	0,2,4,6	fə-ˈde-lə-tē	CVC1VCVCV	_fIHd1EHlIXtIY.
imitation	VCVCVCVC	0,1,3,5	ˌi-mə-ˈtā-shən	VCVC1VCVC	_IHmIXt1EYSIXn.
crunch	CCVCC	0	ˈkrənch	CC1VCC	_kr1UXnC.
outwith	VCCVC	0,2	ˈau̇t-ˌwith	2VC C1VC	~2AWt ~w1IHD.
ionic	VVCVC	0,1,2	ī-ˈä-nik	V1VCVC	_AY1AAnIXk.
placental	CCVCVCCVC	0,3,6	plə-ˈsen-təl	CCVC1VCCVC	_plIXs1EHntAXl.
bamboozle	CVCCVCVC	0,3,5	bam-ˈbü-zəl	CVCC1VCVC	_bAEmb1UWzAXl.
canaan	CVCVC	0,2	ˈkā-nən	C1VCVC	_k1EYnIXn.
echelon	VCVCVC	0,1,3	ˈe-shə-ˌlän	1VCVCVC	_1EHSIXlAAn.
bladder	CCVCVC	0,3	ˈbla-dər	CC1VCVC	_bl1AEdAXr.
throat	CCVC	0	ˈthrōt	CC1VC	_Tr1OWt.
freya	CCVV	0,3	ˈfrā-ə	CC1VV	_fr1EYAX.
slay	CCV	0	ˈslā	CC1V	_sl1EY.
perjurer	CVCCVCVC	0,3,6	ˈpər-jər-ər	C1VCCVCCVC	_p1AXrJAXrrAXr.
aristocratic	VCVCCVCCVCVC	0,1,4,6,9	ə-ˌris-tə-ˈkra-tik	VCCVCCVCC1VCVC	_AXrrIHstAXkr1AEtIHk.
stripy	CCCVCV	0,4	ˈstrī-pē	CCCVC1V	_strIXp1IY.
despite	CVCCVC	0,2	di-ˈspīt	CVCC1VC	_dIHsp1AYt.
linage	CVCVC	0,2	ˈlī-nij	C1VCVC	_l1AYnIHJ.
invest	VCCVCC	0,2	in-ˈvest	VCC1VCC	_IHnv1EHst.
onions	VCVCC	0,2	ˈən-yənz	1VCCVCC	_1UXnyIXnz.
capitulation	CVCVCVCVCVC	0,2,4,6,8	kə-ˌpi-chə-ˈlā-shən	CVCVCVC1VCVC	_kAXpIHCIXl1EYSIXn.
gaijin	CVCVC	0,2	ˈgī-(ˌ)jēn	C1VCVC	_g1EYJIXn.
remedy	CVCVCV	0,2,4	ˈre-mə-dē	C1VCVCV	_r1EHmAXdIY.
mullet	CVCVC	0,2	ˈmə-lət	C1VCVC	_m1UXlIXt.
rumbustious	CVCCVCCVC	0,3,6	ˌrəm-ˈbəs-chəs	C1VCC1VCCVC	_r1UXmb1UXsCIXs.
reticular	CVCVCVCVC	0,2,4,6	ri-ˈti-kyə-lər	CVC1VCCVCVC	_rIYt1IHkyIXlAXr.
endless	VCCCVC	0,3	ˈen(d)-ləs	1VCCCVC	_1EHndlIXs.
sheep	CVC	0	ˈshēp	C1VC	_S1IYp.
ruffle	CVCVC	0,2	ˈrə-fəl	C1VCVC	_r1UXfAXl.
mediation	CVCVVCVC	0,2,4,5	ˌmē-dē-ˈā-shən	CVCV1VCVC	_mIYdIY1EYSIXn.
declarative	CVCCVCVCVC	0,2,6,7	di-ˈkler-ə-tiv	CVCC1VCVCVC	_dIHkl1AErIXtIHv.
quilting	CCVCCVC	0,4	ˈkwil-tiŋ	CC1VCC=VC	_kw1IHlt=IHN.
letterbox	CVCVCCVCCC	0,2,5	ˈle-tər-ˌbäkst	C1VCVC C2VCC	_l1EHtAXr ~b2AAks.
pare	CVC	0	ˈper	C1VC	_p1EHr.
harden	CVCCVC	0,3	ˈhär-dən	C1VCCVC	_h1AArdIXn.
equidistant	VCCVCVCCVCC	0,1,4,7	ˌē-kwə-ˈdis-tənt	1VCCVC1VCCVCC	_1IYkwIHd1IHstIXnt.
treasurer	CCVCVCVC	0,3,5	ˈtre-zhə-rər	CC1VCVCCVC	_tr1EHZAXrrAXr.
chapel	CVCVC	0,2	ˈcha-pəl	C1VCVC	_C1AEpAXl.
primrose	CCVCCVC	0,4	ˈprim-ˌrōz	CC1VCCVC	_pr1IHmrOWz.
gala	CVCV	0,2	ˈgā-lə	C1VCV	_g1EYlAX.
seventeen	CVCVCCVC	0,2,5	ˌse-vən-ˈtēn	C1VCVCC1VC	_s1EHvIXnt1IYn.
parka	CVCCV	0,3	ˈpär-kə	C1VCCV	_p1AArkAX.
spigot	CCVCVC	0,3	ˈspi-gət	CC1VCVC	_sp1IHgAXt.
ferment	CVCCVCC	0,3	(ˌ)fər-ˈment	CVCC1VCC	_fAXrm1EHnt.
rag	CVC	0	ˈrag	C1VC	_r1AEg.
carnivorous	CVCCVCVCVC	0,3,5,7	kär-ˈni-v(ə-)rəs	CVCC1VCVCCVC	_kAArn1IHvAXrrIXs.
stolid	CCVCVC	0,3	ˈstä-ləd	CC1VCVC	_st1AAlIXd.
monetarism	CVCVCVCVCVC	0,2,4,6,8	ˈmä-nə-tə-ˌri-zəm	C1VCVCVCCVCVC	_m1AAnIXtAXrrIHzAXm.
emollient	VCVCVCC	0,1,4	i-ˈmäl-yənt	VC1VCCVCC	_IHm1AOlyIXnt.
boutique	CVCVC	0,2	bü-ˈtēk	CVC1VC	_bUWt1IYk.
saddlebag	CVCVCCVC	0,2,5	ˈsa-dəl-ˌbag	C1VCVCCVC	_s1AEdAXlbAEg.
midi	CVCV	0,2	ˈmi-dē	C1VCV	_m1IHdIY.
incisor	VCCVCVC	0,2,4	in-ˈsī-zər	VCC1VCVC	_IHns1AYzAXr.
vigilante	CVCVCVCCV	0,2,4,7	ˌvi-jə-ˈlan-tē	CVCVC1VCCV	_vIHJIXl1AEntIY.
repentance	CVCVCCVCC	0,2,5	ri-ˈpen-tən(t)s	CVC1VCCVCC	_rIXp1EHntIXns.
replant	CVCCVCC	0,2	(ˌ)rē-ˈplant	CVCC1VCC	_rIYpl1AEnt.
uniform	VCVCVCC	0,1,3	ˈyü-nə-ˌfȯrm	C1VCVCVCC	_y1UWnIXfAOrm.
reinstate	CVVCCCVC	0,2,4	ˌrē-ən-ˈstāt	C1VVCCC1VC	_r1IYIHnst1EYt.
sequent	CVCCVCC	0,2	ˈsē-kwənt	C1V CC2VCC	_s1EY ~kw2EHnt.
encamp	VCCVCC	0,2	in-ˈkamp	VCC1VCC	_EHnk1AEmp.
imprudence	VCCCVCVCC	0,2,5	(ˌ)im-ˈprü-dən(t)s	VCCC1VCVCC	_IHmpr1UWdIXns.
menial	CVCVVC	0,2,4	ˈmē-nē-əl	C1VCVVC	_m1IYnIYIXl.
capitation	CVCVCVCVC	0,2,4,6	ˌka-pə-ˈtā-shən	CVCVC1VCVC	_kAEpIXt1EYSIXn.
affront	VCCVCC	0,1	ə-ˈfrənt	VCC1VCC	_AXfr1UXnt.
band	CVCC	0	ˈband	C1VCC	_b1AEnd.
underwater	VCCVCCVCVC	0,2,5,7	ˌən-dər-ˈwȯ-tər	1VCCVCC1VCVC	_1UXndAXrw1AOtAXr.
match	CVC	0	ˈmach	C1VC	_m1AEC.
unite	VCVC	0,1	yu̇-ˈnīt	CVC1VC	_yUWn1AYt.
growth	CCVC	0	ˈgrōth	CC1VC	_gr1OWT.
stewardship	CCVVCCCVC	0,3,6	ˈstü-ərd-ˌship	CC1VVCCCVC	_st1UWAXrdSIHp.
purdah	CVCCV	0,3	ˈpər-də	C1VCCV	_p1AXrdAX.
emu	VCV	0,1	ˈē-(ˌ)myü	1VCCV	_1IYmyUW.
hotel	CVCVC	0,2	hō-ˈtel	CVC1VC	_hOWt1EHl.
psycho	CVCV	0,2	ˈsī-(ˌ)kō	C1VCV	_s1AYkOW.
taxpayer	CVCCCVVC	0,4,6	ˈtaks-ˌpā-ər	C1VCCCVVC	_t1AEkspEYAXr.
paucity	CVCVCV	0,2,4	ˈpȯ-sə-tē	C1VCVCV	_p1AOsIXtIY.
uplink	VCCVCC	0,2	ˈəp-ˌliŋk	2VC C1VCC	~2UXp ~l1IHNk.
lift	CVCC	0	ˈlift	C1VCC	_l1IHft.
protean	CCVCVVC	0,3,5	ˈprō-tē-ən	CC1VCVVC	_pr1OWtIYIXn.
terminal	CVCCCVC	0,4	ˈtərm-nəl	C1VCCVCVC	_t1AXrmIXnAXl.
monsieur	CVCVC	0,3	məs-ˈyə(r)	CV=CC1VC	_mAX=sy1AXr.
espouse	VCCVC	0,2	is-ˈpau̇z	VCC1VC	_IHsp1AWz.
mobster	CVCCCVC	0,3	ˈmäb-stər	C1VCCCVC	_m1AAbstAXr.
refute	CVCVC	0,2	ri-ˈfyüt	CVCC1VC	_rIXfy1UWt.
parietal	CVCVVCVC	0,2,4,5	pə-ˈrī-ə-təl	CVCC1VVCVC	_pAXrr1AYIXtAXl.
thriller	CCVCVC	0,3	ˈthri-lər	CC1VCVC	_Tr1IHlAXr.
exploration	VCCCCVCVCVC	0,2,6,8	ˌek-splə-ˈrā-shən	VCCCCVCC1VCVC	_EHksplAXrr1EYSIXn.
certainty	CVCCVCCV	0,3,6	ˈsər-tən-tē	C1VCCVCCV	_s1AXrtIXntIY.
navigable	CVCVCVCVC	0,2,4,6	ˈna-vi-gə-bəl	C1VCVCVCVC	_n1AEvIXgAXbAXl.
erosive	VCVCVC	0,1,3	i-ˈrō-siv	VC1VCVC	_IHr1OWsIHv.
dowel	CVVC	0,2	ˈdau̇(-ə)l	C1VC	_d1AWl.
handicraft	CVCCVCCVCC	0,3,5	ˈhan-di-ˌkraft	C1VCCVCCVCC	_h1AEndIYkrAEft.
thrombosis	CCVCCVCVC	0,4,6	thräm-ˈbō-səs	CCVCC1VCVC	_TrAAmb1OWsIXs.
heretofore	CVCCVCVC	0,3,5	ˈhir-tə-ˌfȯr	C1VC=CV=C1VC	_h1IYr=tAX=f1AOr.
microcomputer	CVCCVCVCCVCVC	0,2,5,8,10	ˈmī-krō-kəm-ˌpyü-tər	C1VCCVCVCCC1VCVC	_m1AYkrOWkAXmpy1UWtAXr.
sheen	CVC	0	ˈshēn	C1VC	_S1IYn.
dispossess	CVCCVCVC	0,3,5	ˌdis-pə-ˈzes	C1VCCVC1VC	_d1IHspAXz1EHs.
consensual	CVCCVCCVCVC	0,3,6,8	kən-ˈsen(t)-sh(ə-)wəl	C1VC C2VCCVVC	_k1AAn ~s2EHnSUWAXl.
huguenot	CVCVCVC	0,2,4	ˈhyü-gə-ˌnät	CC1VCVCV	_hy1UWgAXnOW.
cyanide	CVVCVC	0,2,3	ˈsī-ə-ˌnīd	C1VVC=VC	_s1AYIXn=AYd.
chit	CVC	0	ˈchit	C1VC	_C1IHt.
fame	CVC	0	ˈfām	C1VC	_f1EYm.
cystic	CVCCVC	0,3	ˈsis-tik	C1VCCVC	_s1IHstIXk.
watershed	CVCVCCVC	0,2,5	ˈwȯ-tər-ˌshed	C1VCVCCVC	_w1AOtAXrSEHd.
correspond	CVCVCCVCC	0,3,4	ˌkȯr-ə-ˈspänd	CVCVCC1VCC	_kAOrIXsp1AAnd.
condenser	CVCCVCCVC	0,3,6	kən-ˈden(t)-sər	CVCC1VCCVC	_kAXnd1EHnsAXr.
anorak	VCVCVC	0,1,3	ˈa-nə-ˌrak	1VCVCCVC	_1AEnAXrrAEk.
ultimacy	VCCVCVCV	0,2,4,6	ˈəl-tə-mə-sē	1VCCVCVCV	_1UXltIXmAXsIY.
financial	CVCVCCVC	0,2,5	fə-ˈnan(t)-shəl	CVC1VCCVC	_fAYn1AEnSAXl.
implicit	VCCCVCVC	0,2,5	im-ˈpli-sət	VCCC1VCVC	_IHmpl1IHsIXt.
vitriol	CVCCVVC	0,2,5	ˈvi-trē-əl	C1VCCVVC	_v1IHtrIYIXl.
genealogist	CVCVVCVCVCC	0,2,4,5,7	ˌjē-nē-ˈä-lə-jist	CVCV1VCVCVCC	_JIYnIY1AAlAXJIXst.
epochal	VCVCVC	0,1,3	ˈe-pə-kəl	1VCVCVC	_1EHpAXkAXl.
transposition	CCVCCCVCVCVC	0,5,7,9	ˌtran(t)s-pə-ˈzi-shən	CC1VCCCVC1VCVC	_tr1AEnspAXz1IHSIXn.
nearly	CVCCV	0,3	ˈnir-lē	C1VCCV	_n1IYrlIY.
concomitant	CVCCVCVCVCC	0,3,5,7	kən-ˈkä-mə-tənt	CVC=C1VCVCVCC	_kAXn=k1AAmIHtIXnt.
diminutive	CVCVCVCVC	0,2,4,6	də-ˈmi-nyə-tiv	CVC1VCCVCVC	_dIHm1IHnyIXtIHv.
shamble	CVCCVC	0,3	ˈsham-bəl	C1VCCVC	_S1AEmbAXl.
franc	CCVCC	0	ˈfraŋk	CC1VCC	_fr1AENk.
centrist	CVCCCVCC	0,3	ˈsen-trist	C1VCCCVCC	_s1EHntrIXst.
mike	CVC	0	ˈmīk	C1VC	_m1AYk.
bobbin	CVCVC	0,2	ˈbä-bən	C1VCVC	_b1AAbIXn.
corpse	CVCCC	0	ˈkȯrps	C1VCCC	_k1AOrps.
greenwich	CCVCVC	0,3	ˈgre-nich	CC1VCVC	_gr1EHnIHC.
leeds	CVCC	0	ˈlēdz	C1VCC	_l1IYdz.
remedial	CVCVCVVC	0,2,4,6	ri-ˈmē-dē-əl	CVC1VCVVC	_rIXm1IYdIYIXl.
gallows	CVCVC	0,2	ˈga-(ˌ)lōz	C1VCVC	_g1AElOWz.
distinguish	CVCCVCCCVC	0,2,6	di-ˈstiŋ-(g)wish	CVCC1VCCCVC	_dIXst1IHNgwIHS.
echo	VCV	0,1	ˈe-(ˌ)kō	1VCV	_1EHkOW.
nuclear	CVCCVVC	0,2,5	ˈnü-klē-ər	C1VCCVVC	_n1UWklIYAXr.
cramp	CCVCC	0	ˈkramp	CC1VCC	_kr1AEmp.
sociological	CVCVVCVCVCVC	0,2,4,5,7,9	ˌsō-sē-ə-ˈlä-ji-kəl	C1VCVVC1VCVCVC	_s1OWsIYIXl1AAJIHkIXl.
ganger	CVCVC	0,3	ˈgaŋ-ər	C1VCVC	_g1AENAXr.
clean	CCVC	0	ˈklēn	CC1VC	_kl1IYn.
chevron	CVCCVC	0,3	ˈshev-rən	C1VCCVC	_S1EHvrAAn.
locally	CVCVCV	0,2,4	ˈlō-k(ə-)lē	C1VCVCV	_l1OWkAXlIY.
cynic	CVCVC	0,2	ˈsi-nik	C1VCVC	_s1IHnIHk.
phosphorus	CVCCVCVC	0,3,5	ˈfäs-f(ə-)rəs	C1VCCVCCVC	_f1AAsfAXrrIXs.
methyl	CVCVC	0,2	ˈme-thəl	C1VCVC	_m1EHTIXl.
argot	VCCVC	0,2	ˈär-gət	1VCCV	_1AArgOW.
deer	CVC	0	ˈdir	C1VC	_d1IYr.
possessive	CVCVCVC	0,2,4	pə-ˈze-siv	CVC1VCVC	_pAXz1EHsIHv.
final	CVCVC	0,2	ˈfī-nəl	C1VCVC	_f1AYnAXl.
douse	CVC	0	ˈdau̇s	C1VC	_d1AWs.
deterioration	CVCVCVVCVCVC	0,2,5,6,7,9	di-ˌtir-ē-ə-ˈrā-shən	CVC1VCVVC1VCVC	_dIXt1IHrIYIXr1EYSIXn.
providential	CCVCVCVCCVC	0,3,5,8	ˌprä-və-ˈden(t)-shəl	CCVCVC1VCCVC	_prAAvIXd1EHnCAXl.
mayday	CVCV	0,2	ˈmā-ˌdā	C1V C2V	_m1EY ~d2EY.
headband	CVCCVCC	0,3	ˈhed-ˌband	C1VCCVCC	_h1EHdbAEnd.
van	CVC	0	ˈvan	C1VC	_v1AEn.
mannequin	CVCVCVC	0,2,4	ˈma-ni-kən	C1VCVCVC	_m1AEnIXkIXn.
aweless	VCVC	0,1	ˈȯ-ləs	1V=CVC	_1AO=lIXs.
inwardly	VCCVCCCV	0,2,6	ˈin-wərd-lē	1VCCVCCCV	_1IHnwAXrdlIY.
stride	CCCVC	0	ˈstrīd	CCC1VC	_str1AYd.
workman	CVCCCVC	0,4	ˈwərk-mən	C1VCCCVC	_w1AXrkmAXn.
recordist	CVCVCCVCC	0,2,5	ri-ˈkȯr-dist	C1VCVCC 2VCC	_r1EHkAXrd ~2IHst.
angora	VCCVCV	0,2,5	aŋ-ˈgȯr-ə	VCC1VCV	_AENg1AOrAX.
celebrity	CVCVCCVCV	0,2,4,7	sə-ˈle-brə-tē	CVC1VCCVCV	_sIHl1EHbrIXtIY.
bicarbonate	CVCVCCVCVC	0,2,5,7	(ˌ)bī-ˈkär-bə-ˌnāt	C1VC1VCCVCVC	_b1AYk1AArbAXnEYt.
excursion	VCCCVCCVC	0,2,6	ik-ˈskər-zhən	VCCC1VCCVC	_IHksk1AXrZIXn.
ravine	CVCVC	0,2	rə-ˈvēn	CVC1VC	_rIXv1IYn.
decorate	CVCVCVC	0,2,4	ˈde-kə-ˌrāt	C1VCVCCVC	_d1EHkAXrrEYt.
samovar	CVCVCVC	0,2,4	ˈsa-mə-ˌvär	C1VCVCVC	_s1AEmAXvAAr.
imperial	VCCVCVVC	0,2,5,6	im-ˈpir-ē-əl	VCC1VCVVC	_IHmp1IYrIYIXl.
festivity	CVCCVCVCV	0,3,5,7	fes-ˈti-və-tē	CVCC1VCVCV	_fEHst1IHvIHtIY.
daffy	CVCV	0,2	ˈda-fē	C1VCV	_d1AEfIY.
lamed	CVCVC	0,2	ˈlä-ˌmed	C1VCC	_l1EYmd.
resign	CVCVC	0,2	ri-ˈzīn	CVC1VC	_rIXz1AYn.
sofa	CVCV	0,2	ˈsō-fə	C1VCV	_s1OWfAX.
closer	CCVCVC	0,3	ˈklō-zər	CC1VCVC	_kl1OWsAXr.
